"RACEID","DRIVERID","STOP","LAP","TIME","DURATION","MILLISECONDS","DATETIME_PITSTOP","DRIVERREF"
849,817,2,28,"13:56:23","26.942",26942,10-JUL-11,"ricciardo"
849,2,2,30,"13:57:06","24.434",24434,10-JUL-11,"heidfeld"
849,10,2,30,"13:58:43","24.959",24959,10-JUL-11,"glock"
849,153,2,31,"13:58:46","24.095",24095,10-JUL-11,"alguersuari"
849,22,2,31,"13:59:02","23.955",23955,10-JUL-11,"barrichello"
849,815,2,32,"14:00:08","25.619",25619,10-JUL-11,"perez"
849,24,2,31,"14:00:49","25.505",25505,10-JUL-11,"liuzzi"
849,813,3,35,"14:05:42","23.869",23869,10-JUL-11,"maldonado"
849,20,3,36,"14:06:13","23.137",23137,10-JUL-11,"vettel"
849,1,3,37,"14:07:50","23.340",23340,10-JUL-11,"hamilton"
849,808,2,38,"14:10:21","24.172",24172,10-JUL-11,"petrov"
849,4,3,39,"14:10:50","23.474",23474,10-JUL-11,"alonso"
849,18,3,39,"14:11:08","23.292",23292,10-JUL-11,"button"
849,16,3,40,"14:13:32","27.240",27240,10-JUL-11,"sutil"
849,13,3,41,"14:14:35","23.238",23238,10-JUL-11,"massa"
850,67,1,10,"14:20:28","27.301",27301,24-JUL-11,"buemi"
850,812,1,10,"14:21:22","31.879",31879,24-JUL-11,"chandhok"
850,17,1,14,"14:26:23","20.440",20440,24-JUL-11,"webber"
850,3,1,14,"14:26:39","20.348",20348,24-JUL-11,"rosberg"
850,813,1,15,"14:28:35","21.601",21601,24-JUL-11,"maldonado"
850,1,1,16,"14:29:38","20.982",20982,24-JUL-11,"hamilton"
850,4,1,16,"14:29:39","20.430",20430,24-JUL-11,"alonso"
850,20,1,16,"14:29:57","20.394",20394,24-JUL-11,"vettel"
850,13,1,17,"14:31:36","20.344",20344,24-JUL-11,"massa"
850,24,1,20,"14:37:44","22.048",22048,24-JUL-11,"liuzzi"
850,817,1,21,"14:39:29","22.319",22319,24-JUL-11,"ricciardo"
850,16,1,22,"14:39:56","20.839",20839,24-JUL-11,"sutil"
850,10,1,22,"14:41:05","22.252",22252,24-JUL-11,"glock"
850,808,1,23,"14:41:53","21.449",21449,24-JUL-11,"petrov"
850,814,1,23,"14:42:05","23.676",23676,24-JUL-11,"resta"
850,18,1,24,"14:43:15","20.952",20952,24-JUL-11,"button"
850,816,1,24,"14:44:42","20.762",20762,24-JUL-11,"ambrosio"
850,5,1,26,"14:47:26","22.088",22088,24-JUL-11,"kovalainen"
850,17,2,30,"14:52:32","21.299",21299,24-JUL-11,"webber"
850,1,2,31,"14:54:10","20.496",20496,24-JUL-11,"hamilton"
850,4,2,32,"14:55:46","20.035",20035,24-JUL-11,"alonso"
850,813,2,35,"15:01:53","21.057",21057,24-JUL-11,"maldonado"
850,3,2,36,"15:03:03","20.975",20975,24-JUL-11,"rosberg"
850,67,2,36,"15:04:03","20.954",20954,24-JUL-11,"buemi"
850,20,2,40,"15:09:11","20.274",20274,24-JUL-11,"vettel"
850,13,2,41,"15:10:46","20.185",20185,24-JUL-11,"massa"
850,815,2,41,"15:11:48","21.645",21645,24-JUL-11,"perez"
850,153,2,43,"15:15:07","21.689",21689,24-JUL-11,"alguersuari"
850,808,2,46,"15:19:54","20.572",20572,24-JUL-11,"petrov"
850,155,2,48,"15:23:03","21.267",21267,24-JUL-11,"kobayashi"
850,10,2,48,"15:25:25","21.252",21252,24-JUL-11,"glock"
850,1,3,51,"15:26:17","20.403",20403,24-JUL-11,"hamilton"
850,816,2,49,"15:27:24","23.588",23588,24-JUL-11,"ambrosio"
850,5,2,50,"15:27:48","21.175",21175,24-JUL-11,"kovalainen"
850,814,2,51,"15:28:11","22.535",22535,24-JUL-11,"resta"
850,4,3,53,"15:29:30","19.975",19975,24-JUL-11,"alonso"
850,3,3,53,"15:30:50","20.047",20047,24-JUL-11,"rosberg"
850,17,3,56,"15:34:20","20.324",20324,24-JUL-11,"webber"
850,30,3,56,"15:35:53","19.930",19930,24-JUL-11,"michael_schumacher"
850,13,3,59,"15:39:43","21.903",21903,24-JUL-11,"massa"
850,20,3,59,"15:39:44","20.110",20110,24-JUL-11,"vettel"
851,13,1,10,"14:21:09","22.293",22293,31-JUL-11,"massa"
851,808,1,10,"14:21:18","25.532",25532,31-JUL-11,"petrov"
851,22,1,10,"14:21:19","22.640",22640,31-JUL-11,"barrichello"
851,18,1,11,"14:22:29","21.786",21786,31-JUL-11,"button"
851,814,1,11,"14:22:46","22.262",22262,31-JUL-11,"resta"
851,2,1,11,"14:23:12","21.371",21371,31-JUL-11,"heidfeld"
851,10,1,11,"14:23:27","22.222",22222,31-JUL-11,"glock"
851,816,1,11,"14:23:32","25.337",25337,31-JUL-11,"ambrosio"
851,1,1,12,"14:23:59","21.880",21880,31-JUL-11,"hamilton"
851,20,1,12,"14:24:05","20.690",20690,31-JUL-11,"vettel"
851,3,1,12,"14:24:17","20.767",20767,31-JUL-11,"rosberg"
851,155,1,12,"14:24:35","23.725",23725,31-JUL-11,"kobayashi"
851,67,1,12,"14:24:42","22.349",22349,31-JUL-11,"buemi"
851,5,1,12,"14:24:53","22.772",22772,31-JUL-11,"kovalainen"
851,815,1,12,"14:24:56","22.215",22215,31-JUL-11,"perez"
851,24,1,12,"14:25:35","23.633",23633,31-JUL-11,"liuzzi"
851,30,1,13,"14:26:02","21.948",21948,31-JUL-11,"michael_schumacher"
851,15,1,13,"14:26:49","23.118",23118,31-JUL-11,"trulli"
851,817,1,13,"14:27:04","22.844",22844,31-JUL-11,"ricciardo"
851,813,2,16,"14:31:22","13.186",13186,31-JUL-11,"maldonado"
851,2,2,23,"14:42:16","25.434",25434,31-JUL-11,"heidfeld"
851,153,2,24,"14:43:20","22.552",22552,31-JUL-11,"alguersuari"
851,5,2,24,"14:43:45","22.147",22147,31-JUL-11,"kovalainen"
851,815,2,24,"14:43:49","20.570",20570,31-JUL-11,"perez"
