"RACEID","YEAR","ROUND","NAME","F1DATE","TIME","URL","SCORE","DNF_COUNT","DNF_DUE_TO_ACCIDENT_COUNT","WEATHER","WEATHER_WET","CIRCUITREF","YEAR_C","RACE_COUNT","NAME_YEAR","OVERTAKEN_POSITIONS_TOTAL"
25,2008,8,"French Grand Prix",22-JUN-08,"12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix",5.548,1,1,"Dry at first; light rain in the final stages","Y","magny_cours","2008",1,"2008 French Grand Prix",169
27,2008,10,"German Grand Prix",20-JUL-08,"12:00:00","http://en.wikipedia.org/wiki/2008_German_Grand_Prix",7.18,3,1,"Cloudy, later sunny[1]","N","hockenheimring","2008",1,"2008 German Grand Prix",181
23,2008,6,"Monaco Grand Prix",25-MAY-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix",8.177,6,5,"Wet, drying later.","Y","monaco","2008",1,"2008 Monaco Grand Prix",147
9,2009,9,"German Grand Prix",12-JUL-09,"12:00:00","http://en.wikipedia.org/wiki/2009_German_Grand_Prix",7.096,2,0,"Sunny and overcast","N","nurburgring","2009",1,"2009 German Grand Prix",236
6,2009,6,"Monaco Grand Prix",24-MAY-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix",5.504,6,5,"Sunny","N","monaco","2009",1,"2009 Monaco Grand Prix",92
347,2010,11,"German Grand Prix",25-JUL-10,"12:00:00","http://en.wikipedia.org/wiki/2010_German_Grand_Prix",3.74,5,2,"Mainly cloudy, dry[4]","N","hockenheimring","2010",1,"2010 German Grand Prix",99
353,2010,17,"Korean Grand Prix",24-OCT-10,"5:00:00","http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix",7.536,9,7,"Rain; Air 20 °C (68 °F), Track 18 °C (64 °F)","Y","yeongam","2010",1,"2010 Korean Grand Prix",113
850,2011,10,"German Grand Prix",24-JUL-11,"12:00:00","http://en.wikipedia.org/wiki/2011_German_Grand_Prix",8.43,4,1,"Cloudy, (light) rain at start","Y","nurburgring","2011",1,"2011 German Grand Prix",167
856,2011,16,"Korean Grand Prix",16-OCT-11,"6:00:00","http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix",6.915,3,2,"Dry, light rain at the start Air Temp 21 °C (70 °F)[2]","Y","yeongam","2011",1,"2011 Korean Grand Prix",194
846,2011,6,"Monaco Grand Prix",29-MAY-11,"12:00:00","http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix",7.684,7,5,"Sunny, Fine and Dry[2]Air Temp 24 °C (75 °F)[2]Track Temp 44 °C (111 °F)[2]","N","monaco","2011",1,"2011 Monaco Grand Prix",155
869,2012,10,"German Grand Prix",22-JUL-12,"12:00:00","http://en.wikipedia.org/wiki/2012_German_Grand_Prix",7.055,0,0,"Fine and Dry[2] Air Temp 22 °C (72 °F)[2] Track Temp 30 °C (86 °F)[2]","N","hockenheimring","2012",1,"2012 German Grand Prix",225
888,2013,9,"German Grand Prix",07-JUL-13,"12:00:00","http://en.wikipedia.org/wiki/2013_German_Grand_Prix",7.643,3,1,"Sunny","N","nurburgring","2013",1,"2013 German Grand Prix",253
931,2015,6,"Monaco Grand Prix",24-MAY-15,"12:00:00","http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix",5.63,3,1,"Partly cloudy18–19 °C (64–66 °F) air temperature31–37 °C (88–99 °F) track temperature1.5 m/s (4.9 ft/s) wind from the west[2]","N","monaco","2015",1,"2015 Monaco Grand Prix",42
1041,2020,11,"Eifel Grand Prix",11-OCT-20,"13:10:00","https://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix",6.8,5,1,"Partly cloudy, 10 °C (50 °F)","N","nurburgring","2020",1,"2020 Eifel Grand Prix",165
30,2008,13,"Belgian Grand Prix",07-SEP-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix",7.736,4,2,"Cloudy, rain in last 3 laps","Y","spa","2008",1,"2008 Belgian Grand Prix",120
34,2008,17,"Chinese Grand Prix",19-OCT-08,"7:00:00","http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix",4.446,3,1,"Dry","N","shanghai","2008",1,"2008 Chinese Grand Prix",162
31,2008,14,"Italian Grand Prix",14-SEP-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix",8.153,1,1,"Heavy rain, dry towards the end","Y","monza","2008",1,"2008 Italian Grand Prix",215
21,2008,4,"Spanish Grand Prix",27-APR-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix",5.085,9,6,"Sunny","N","catalunya","2008",1,"2008 Spanish Grand Prix",128
12,2009,12,"Belgian Grand Prix",30-AUG-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix",7.852,6,4,"Clear but Mild","N","spa","2009",1,"2009 Belgian Grand Prix",125
8,2009,8,"British Grand Prix",21-JUN-09,"12:00:00","http://en.wikipedia.org/wiki/2009_British_Grand_Prix",5.755,2,2,"Dry, overcast","N","silverstone","2009",1,"2009 British Grand Prix",142
13,2009,13,"Italian Grand Prix",13-SEP-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix",7.049,5,2,"Mainly sunny","N","monza","2009",1,"2009 Italian Grand Prix",104
7,2009,7,"Turkish Grand Prix",07-JUN-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix",5.276,2,0,"Sunny","N","istanbul","2009",1,"2009 Turkish Grand Prix",171
337,2010,1,"Bahrain Grand Prix",14-MAR-10,"12:00:00","http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix",4.587,9,1,"not found","N","bahrain","2010",1,"2010 Bahrain Grand Prix",76
350,2010,14,"Italian Grand Prix",12-SEP-10,"12:00:00","http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix",6.759,4,1,"Sunny","N","monza","2010",1,"2010 Italian Grand Prix",61
343,2010,7,"Turkish Grand Prix",30-MAY-10,"11:00:00","http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix",7.984,5,1,"Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F)","N","istanbul","2010",1,"2010 Turkish Grand Prix",95
852,2011,12,"Belgian Grand Prix",28-AUG-11,"12:00:00","http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix",7.772,5,2,"Cloudy, dry","N","spa","2011",1,"2011 Belgian Grand Prix",217
843,2011,3,"Chinese Grand Prix",17-APR-11,"7:00:00","http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix",9.241,1,0,"Fine and Dry[1] Air Temp 22 °C (72 °F)[1] Track Temp 32 °C (90 °F) dropping to 26 °C (79 °F)[1]","N","shanghai","2011",1,"2011 Chinese Grand Prix",282
853,2011,13,"Italian Grand Prix",11-SEP-11,"12:00:00","http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix",7.494,8,4,"Mainly sunny","N","monza","2011",1,"2011 Italian Grand Prix",102
844,2011,4,"Turkish Grand Prix",08-MAY-11,"12:00:00","http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix",7.306,2,0,"Sunny, Fine and Dry[2] Air Temp 17 °C (63 °F)[2] Track Temp 35 °C (95 °F) dropping to 30 °C (86 °F)[2]","N","istanbul","2011",1,"2011 Turkish Grand Prix",364
942,2015,16,"United States Grand Prix",25-OCT-15,"19:00:00","https://en.wikipedia.org/wiki/2015_United_States_Grand_Prix",9.1,8,2,"Very cloudy17 °C (63 °F) air temperature17–20 °C (63–68 °F) track temperature8 m/s (26 ft/s) wind from the south[2]","N","americas","2015",1,"2015 United States Grand Prix",131
965,2016,18,"United States Grand Prix",23-OCT-16,"19:00:00","https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix",6.04,4,1,"Sunny and hot with temperatures reaching up to 84 °F (29 °C); wind speeds approaching speeds of 9.2 miles per hour (14.8 km/h)[2]","N","americas","2016",1,"2016 United States Grand Prix",168
985,2017,17,"United States Grand Prix",22-OCT-17,"19:00:00","https://en.wikipedia.org/wiki/2017_United_States_Grand_Prix",7.78,4,1,"Sunny with temperatures reaching up to 82.9 °F (28.3 °C); wind speeds approaching speeds of 13.8 miles per hour (22.2 km/h)[4]","N","americas","2017",1,"2017 United States Grand Prix",120
1006,2018,18,"United States Grand Prix",21-OCT-18,"18:10:00","https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix",8.76,6,1,"not found","N","americas","2018",1,"2018 United States Grand Prix",91
1028,2019,19,"United States Grand Prix",03-NOV-19,"19:10:00","https://en.wikipedia.org/wiki/2019_United_States_Grand_Prix",7,4,0,"Sunny","N","americas","2019",1,"2019 United States Grand Prix",149
1043,2020,13,"Emilia Romagna Grand Prix",01-NOV-20,"12:10:00","https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix",6.5,5,1,"Partly cloudy","N","imola","2020",1,"2020 Emilia Romagna Grand Prix",125
342,2010,6,"Monaco Grand Prix",16-MAY-10,"12:00:00","http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix",6.217,12,2,"Mainly cloudy, dry","N","monaco","2010",1,"2010 Monaco Grand Prix",98
857,2011,17,"Indian Grand Prix",30-OCT-11,"9:30:00","http://en.wikipedia.org/wiki/2011_Indian_Grand_Prix",5.555,5,2,"Fine and Dry Air Temp 30 °C (86 °F)[1]","N","buddh","2011",1,"2011 Indian Grand Prix",101
876,2012,17,"Indian Grand Prix",28-OCT-12,"9:30:00","http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix",5.194,3,2,"Fine, Dry, a little hazy and a little dusty[2] Air Temp 30 °C (86 °F)[2] Track Temp 36 °C (97 °F) dropping to 31 °C (88 °F)[2]","N","buddh","2012",1,"2012 Indian Grand Prix",107
875,2012,16,"Korean Grand Prix",14-OCT-12,"6:00:00","http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix",5.158,4,2,"Fine and Dry[3] Air Temp 21 °C (70 °F)[3] Track Temp 27 °C (81 °F) dropping to 23 °C (73 °F)[3]","N","yeongam","2012",1,"2012 Korean Grand Prix",128
894,2013,14,"Korean Grand Prix",06-OCT-13,"6:00:00","http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix",7.351,3,3,"Cloudy with maximum temperatures reaching 29 degrees during the day","N","yeongam","2013",1,"2013 Korean Grand Prix",257
885,2013,6,"Monaco Grand Prix",26-MAY-13,"12:00:00","http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix",6.132,7,4,"Warm and sunny","N","monaco","2013",1,"2013 Monaco Grand Prix",112
909,2014,10,"German Grand Prix",20-JUL-14,"12:00:00","http://en.wikipedia.org/wiki/2014_German_Grand_Prix",7.86,4,1,"Cloudy with maximum temperatures reaching 26 degrees during the day.","N","hockenheimring","2014",1,"2014 German Grand Prix",226
905,2014,6,"Monaco Grand Prix",25-MAY-14,"12:00:00","http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix",7.04,8,3,"Overcast, Air: 20 to 21 °C (68 to 70 °F), Track: 28 to 30 °C (82 to 86 °F).","N","monaco","2014",1,"2014 Monaco Grand Prix",73
349,2010,13,"Belgian Grand Prix",29-AUG-10,"12:00:00","http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix",8.368,4,3,"Intermittent rain","Y","spa","2010",1,"2010 Belgian Grand Prix",129
346,2010,10,"British Grand Prix",11-JUL-10,"12:00:00","http://en.wikipedia.org/wiki/2010_British_Grand_Prix",7.203,4,1,"Mainly sunny","N","silverstone","2010",1,"2010 British Grand Prix",161
341,2010,5,"Spanish Grand Prix",09-MAY-10,"12:00:00","http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix",4.919,7,2,"Mainly cloudy, dry","N","catalunya","2010",1,"2010 Spanish Grand Prix",58
871,2012,12,"Belgian Grand Prix",02-SEP-12,"12:00:00","http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix",7.467,6,6,"Fine and Dry[2] Air Temp 23 °C (73 °F)[2] Track Temp 33 °C (91 °F)[2]","N","spa","2012",1,"2012 Belgian Grand Prix",170
891,2013,11,"Belgian Grand Prix",25-AUG-13,"12:00:00","http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix",5.688,3,1,"not found","N","spa","2013",1,"2013 Belgian Grand Prix",192
903,2014,4,"Chinese Grand Prix",20-APR-14,"7:00:00","http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix",5.47,2,0,"Mostly cloudy, dry","N","shanghai","2014",1,"2014 Chinese Grand Prix",158
938,2015,12,"Italian Grand Prix",06-SEP-15,"12:00:00","http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix",5.64,2,0,"Partly cloudy22–23 °C (72–73 °F) air temperature38–39 °C (100–102 °F) track temperature1.5 m/s (4.9 ft/s) wind from changing directions[2]","N","monza","2015",1,"2015 Italian Grand Prix",87
959,2016,12,"German Grand Prix",31-JUL-16,"12:00:00","https://en.wikipedia.org/wiki/2016_German_Grand_Prix",5.81,2,0,"Partially cloudy and dry","N","hockenheimring","2016",1,"2016 German Grand Prix",228
994,2018,6,"Monaco Grand Prix",27-MAY-18,"13:10:00","https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix",5.09,3,2,"not found","N","monaco","2018",1,"2018 Monaco Grand Prix",81
1015,2019,6,"Monaco Grand Prix",26-MAY-19,"13:10:00","https://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix",6.3,1,1,"Overcast","N","monaco","2019",1,"2019 Monaco Grand Prix",85
15,2009,15,"Japanese Grand Prix",04-OCT-09,"5:00:00","http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix",5.58,3,2,"Sunny, Dry","N","suzuka","2009",1,"2009 Japanese Grand Prix",134
345,2010,9,"European Grand Prix",27-JUN-10,"12:00:00","http://en.wikipedia.org/wiki/2010_European_Grand_Prix",5.454,3,2,"Dry[3]","N","valencia","2010",1,"2010 European Grand Prix",123
874,2012,15,"Japanese Grand Prix",07-OCT-12,"6:00:00","http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix",6.381,5,3,"Fine and Dry[2] Air Temp 23 °C (73 °F)[2] Track Temp 32 °C (90 °F)[2]","N","suzuka","2012",1,"2012 Japanese Grand Prix",167
960,2016,13,"Belgian Grand Prix",28-AUG-16,"12:00:00","https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix",7.25,5,1,"Partially cloudy and dry","N","spa","2016",1,"2016 Belgian Grand Prix",147
951,2016,4,"Russian Grand Prix",01-MAY-16,"12:00:00","https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix",5.4,4,3,"Partly cloudy16 °C (61 °F) air temperature37–41 °C (99–106 °F) track temperature2.5 m/s (8.2 ft/s) wind from the southwest[4]","N","sochi","2016",1,"2016 Russian Grand Prix",117
937,2015,11,"Belgian Grand Prix",23-AUG-15,"12:00:00","http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix",6.39,6,0,"Cloudy23 °C (73 °F) air temperature33–37 °C (91–99 °F) track temperature3.5 m/s (11 ft/s) wind from the northwest[2]","N","spa","2015",1,"2015 Belgian Grand Prix",122
953,2016,6,"Monaco Grand Prix",29-MAY-16,"12:00:00","https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix",7.75,7,5,"Rainy at start, dry later17–18 °C (63–64 °F) air temperature20–22 °C (68–72 °F) track temperature2 m/s (6.6 ft/s) wind from the north[4]","Y","monaco","2016",1,"2016 Monaco Grand Prix",144
952,2016,5,"Spanish Grand Prix",15-MAY-16,"12:00:00","https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix",8.71,5,2,"Partly cloudy20–22 °C (68–72 °F) air temperature39–41 °C (102–106 °F) track temperature2 m/s (6.6 ft/s) wind from the north[4]","N","catalunya","2016",1,"2016 Spanish Grand Prix",248
973,2017,5,"Spanish Grand Prix",14-MAY-17,"12:00:00","https://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix",7.87,4,1,"not found","N","catalunya","2017",1,"2017 Spanish Grand Prix",86
1002,2018,14,"Italian Grand Prix",02-SEP-18,"13:10:00","https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix",8.31,4,0,"not found","N","monza","2018",1,"2018 Italian Grand Prix",100
