"YEAR","RACE","COUNT","LAPS"
2021,"Bahrain Grand Prix",1,
2021,"Emilia Romagna Grand Prix",1,
2021,"Portuguese Grand Prix",1,
2021,"Spanish Grand Prix",1,
2021,"Azerbaijan Grand Prix",2,
2021,"Austrian Grand Prix",1,
2021,"Hungarian Grand Prix",1,
2021,"Belgian Grand Prix",1,
2021,"Italian Grand Prix",1,
2021,"Mexican Grand Prix",1,
2021,"Brazilian Grand Prix",1,
2021,"Saudi Arabian Grand Prix",1,
2021,"Abu Dhabi Grand Prix",1,
2018,"French Grand Prix",2,7
2019,"French Grand Prix",1,1
2013,"German Grand Prix",1,6
2014,"German Grand Prix",1,2
2018,"German Grand Prix",1,6
2019,"German Grand Prix",6,19
2010,"Korean Grand Prix",3,24
2011,"Korean Grand Prix",1,4
2013,"Korean Grand Prix",2,9
2010,"Monaco Grand Prix",4,14
2011,"Monaco Grand Prix",2,11
2012,"Monaco Grand Prix",1,2
2013,"Monaco Grand Prix",3,15
2014,"Monaco Grand Prix",2,8
2015,"Monaco Grand Prix",1,7
2016,"Monaco Grand Prix",5,15
2017,"Monaco Grand Prix",1,7
2018,"Monaco Grand Prix",1,3
2019,"Monaco Grand Prix",1,4
2020,"Tuscan Grand Prix",3,12
2014,"Bahrain Grand Prix",1,5
2017,"Bahrain Grand Prix",1,4
2018,"Bahrain Grand Prix",1,3
2019,"Bahrain Grand Prix",1,3
2010,"Belgian Grand Prix",2,5
2011,"Belgian Grand Prix",1,4
2012,"Belgian Grand Prix",1,4
2015,"Belgian Grand Prix",1,2
2016,"Belgian Grand Prix",2,7
2017,"Belgian Grand Prix",1,4
2018,"Belgian Grand Prix",1,4
2019,"Belgian Grand Prix",1,4
2020,"Belgian Grand Prix",1,4
2010,"British Grand Prix",1,3
2013,"British Grand Prix",2,10
2014,"British Grand Prix",1,2
2015,"British Grand Prix",2,5
2016,"British Grand Prix",2,6
2017,"British Grand Prix",1,3
2018,"British Grand Prix",2,8
2019,"British Grand Prix",1,4
2020,"British Grand Prix",2,10
2010,"Chinese Grand Prix",2,7
2015,"Chinese Grand Prix",1,4
2016,"Chinese Grand Prix",1,5
2017,"Chinese Grand Prix",2,6
2018,"Chinese Grand Prix",1,5
2019,"Chinese Grand Prix",1,2
2011,"Italian Grand Prix",1,3
2018,"Italian Grand Prix",1,3
2019,"Italian Grand Prix",2,2
2020,"Italian Grand Prix",2,8
2015,"Mexican Grand Prix",1,6
2016,"Mexican Grand Prix",1,3
2017,"Mexican Grand Prix",1,2
2018,"Mexican Grand Prix",3,5
2019,"Mexican Grand Prix",1,3
2015,"Russian Grand Prix",2,8
2016,"Russian Grand Prix",1,3
2017,"Russian Grand Prix",1,3
2019,"Russian Grand Prix",3,8
2016,"Spanish Grand Prix",1,3
2017,"Spanish Grand Prix",1,4
2018,"Spanish Grand Prix",2,9
2019,"Spanish Grand Prix",1,7
2020,"Styrian Grand Prix",1,3
2015,"Austrian Grand Prix",1,6
2016,"Austrian Grand Prix",1,5
2018,"Austrian Grand Prix",1,2
2020,"Austrian Grand Prix",3,15
2011,"Canadian Grand Prix",5,32
2014,"Canadian Grand Prix",2,8
2016,"Canadian Grand Prix",1,1
2017,"Canadian Grand Prix",2,7
2018,"Canadian Grand Prix",1,4
2010,"European Grand Prix",1,5
2010,"Japanese Grand Prix",1,6
2011,"Japanese Grand Prix",1,4
2012,"Japanese Grand Prix",1,2
2014,"Japanese Grand Prix",2,10
2017,"Japanese Grand Prix",3,7
2018,"Japanese Grand Prix",2,5
2010,"Abu Dhabi Grand Prix",1,5
2012,"Abu Dhabi Grand Prix",2,10
2018,"Abu Dhabi Grand Prix",2,6
2010,"Brazilian Grand Prix",1,5
2012,"Brazilian Grand Prix",2,9
2016,"Brazilian Grand Prix",4,34
2017,"Brazilian Grand Prix",1,5
2019,"Brazilian Grand Prix",2,10
2010,"Hungarian Grand Prix",1,3
2014,"Hungarian Grand Prix",2,9
2015,"Hungarian Grand Prix",1,7
2017,"Hungarian Grand Prix",1,5
2018,"Hungarian Grand Prix",2,4
2010,"Singapore Grand Prix",2,7
2011,"Singapore Grand Prix",1,4
2012,"Singapore Grand Prix",2,9
2013,"Singapore Grand Prix",1,6
2014,"Singapore Grand Prix",1,7
2015,"Singapore Grand Prix",2,10
2016,"Singapore Grand Prix",1,2
2017,"Singapore Grand Prix",3,12
2018,"Singapore Grand Prix",1,4
2019,"Singapore Grand Prix",3,11
2010,"Australian Grand Prix",1,4
2012,"Australian Grand Prix",1,5
2014,"Australian Grand Prix",1,4
2015,"Australian Grand Prix",1,3
2016,"Australian Grand Prix",1,3
2018,"Australian Grand Prix",2,10
2017,"Azerbaijan Grand Prix",3,12
2018,"Azerbaijan Grand Prix",2,13
2019,"Azerbaijan Grand Prix",1,2
2013,"United States Grand Prix",1,4
2014,"United States Grand Prix",1,4
2015,"United States Grand Prix",4,16
2016,"United States Grand Prix",1,3
2018,"United States Grand Prix",1,2
2012,"Malaysian Grand Prix",1,7
2015,"Malaysian Grand Prix",1,3
2016,"Malaysian Grand Prix",3,7
2012,"European Grand Prix",1,5
