"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality"
18,1,1,"1:26.714",1,1,"1",1,1,2008,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","HAM","Lewis","Hamilton","British"
18,9,2,"1:26.869",9,2,"\N",9,4,2008,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","KUB","Robert","Kubica","Polish"
18,5,3,"1:27.079",5,3,"5",5,1,2008,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","KOV","Heikki","Kovalainen","Finnish"
18,13,4,"1:27.178",13,4,"\N",13,5,2008,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","MAS","Felipe","Massa","Brazilian"
19,13,1,"1:35.748",41,1,"\N",19,20,2008,"Malaysian Grand Prix","N","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","MAS","Felipe","Massa","Brazilian"
19,8,2,"1:36.230",23,2,"1",1,1,2008,"Malaysian Grand Prix","N","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","RAI","Kimi","Räikkönen","Finnish"
19,5,3,"1:36.613",25,8,"3",3,1,2008,"Malaysian Grand Prix","N","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","KOV","Heikki","Kovalainen","Finnish"
19,1,4,"1:36.709",27,9,"5",5,1,2008,"Malaysian Grand Prix","N","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","HAM","Lewis","Hamilton","British"
20,9,1,"1:33.096",47,1,"3",3,1,2008,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","KUB","Robert","Kubica","Polish"
20,13,2,"1:33.123",45,2,"1",1,1,2008,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","MAS","Felipe","Massa","Brazilian"
20,1,3,"1:33.292",57,3,"13",13,11,2008,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","HAM","Lewis","Hamilton","British"
20,8,4,"1:33.418",46,4,"2",2,1,2008,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","RAI","Kimi","Räikkönen","Finnish"
21,8,1,"1:21.813",67,1,"1",1,1,2008,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","RAI","Kimi","Räikkönen","Finnish"
21,4,2,"1:21.904",81,2,"\N",15,5,2008,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","ALO","Fernando","Alonso","Spanish"
21,13,3,"1:22.058",68,3,"2",2,1,2008,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","MAS","Felipe","Massa","Brazilian"
21,9,4,"1:22.065",70,4,"4",4,1,2008,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","KUB","Robert","Kubica","Polish"
22,13,1,"1:27.617",89,1,"1",1,1,2008,"Turkish Grand Prix","N","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","MAS","Felipe","Massa","Brazilian"
22,5,2,"1:27.808",100,2,"12",12,11,2008,"Turkish Grand Prix","N","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","KOV","Heikki","Kovalainen","Finnish"
22,1,3,"1:27.923",90,3,"2",2,1,2008,"Turkish Grand Prix","N","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","HAM","Lewis","Hamilton","British"
22,8,4,"1:27.936",91,4,"3",3,1,2008,"Turkish Grand Prix","N","istanbul",5,"Istanbul Park","Turkey",40.9517,29.405,"130","RAI","Kimi","Räikkönen","Finnish"
23,13,1,"1:15.787",111,1,"3",3,1,2008,"Monaco Grand Prix","Y","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","MAS","Felipe","Massa","Brazilian"
23,8,2,"1:15.815",117,2,"9",9,1,2008,"Monaco Grand Prix","Y","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","RAI","Kimi","Räikkönen","Finnish"
23,1,3,"1:15.839",109,3,"1",1,1,2008,"Monaco Grand Prix","Y","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","HAM","Lewis","Hamilton","British"
23,5,4,"1:16.165",116,4,"8",8,1,2008,"Monaco Grand Prix","Y","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","KOV","Heikki","Kovalainen","Finnish"
24,1,1,"1:17.886",147,1,"\N",19,4,2008,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","HAM","Lewis","Hamilton","British"
24,9,2,"1:18.498",129,2,"1",1,1,2008,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","KUB","Robert","Kubica","Polish"
24,8,3,"1:18.735",146,3,"\N",18,4,2008,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","RAI","Kimi","Räikkönen","Finnish"
24,4,4,"1:18.746",144,4,"\N",16,20,2008,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","ALO","Fernando","Alonso","Spanish"
25,8,1,"1:16.449",150,1,"2",2,1,2008,"French Grand Prix","Y","magny_cours",8,"Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","RAI","Kimi","Räikkönen","Finnish"
25,13,2,"1:16.490",149,2,"1",1,1,2008,"French Grand Prix","Y","magny_cours",8,"Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","MAS","Felipe","Massa","Brazilian"
25,1,3,"1:16.693",158,13,"10",10,1,2008,"French Grand Prix","Y","magny_cours",8,"Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","HAM","Lewis","Hamilton","British"
25,4,4,"1:16.840",156,3,"8",8,1,2008,"French Grand Prix","Y","magny_cours",8,"Circuit de Nevers Magny-Cours","France",46.8642,3.16361,"228","ALO","Fernando","Alonso","Spanish"
26,5,1,"1:21.049",173,1,"5",5,11,2008,"British Grand Prix","Y","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","KOV","Heikki","Kovalainen","Finnish"
26,17,2,"1:21.554",178,2,"10",10,11,2008,"British Grand Prix","Y","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","WEB","Mark","Webber","Australian"
26,8,3,"1:21.706",172,3,"4",4,11,2008,"British Grand Prix","Y","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","RAI","Kimi","Räikkönen","Finnish"
26,1,4,"1:21.835",169,4,"1",1,1,2008,"British Grand Prix","Y","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","HAM","Lewis","Hamilton","British"
27,1,1,"1:15.666",189,1,"1",1,1,2008,"German Grand Prix","N","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","HAM","Lewis","Hamilton","British"
27,13,2,"1:15.859",191,2,"3",3,1,2008,"German Grand Prix","N","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","MAS","Felipe","Massa","Brazilian"
27,5,3,"1:16.143",193,3,"5",5,1,2008,"German Grand Prix","N","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","KOV","Heikki","Kovalainen","Finnish"
