"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality","qual_gap","won_race","race_21"
1,20,3,86.83,7566,3,"13",13,4,2009,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","VET","Sebastian","Vettel","German",-0.0840000000000032,0,0
1,22,2,86.505,7555,2,"2",2,1,2009,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","BAR","Rubens","Barrichello","Brazilian",-0.409000000000006,0,0
1,18,1,86.202,7554,1,"1",1,1,2009,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","BUT","Jenson","Button","British",-0.712000000000003,1,0
2,15,2,95.273,7577,2,"4",4,1,2009,"Malaysian Grand Prix","Y","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","TRU","Jarno","Trulli","Italian",-0.378000000000014,0,0
2,18,1,95.181,7574,1,"1",1,1,2009,"Malaysian Grand Prix","Y","sepang",2,"Sepang International Circuit","Malaysia",2.76083,101.738,"18","BUT","Jenson","Button","British",-0.469999999999999,1,0
3,17,3,96.466,7595,3,"2",2,1,2009,"Chinese Grand Prix","Y","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","WEB","Mark","Webber","Australian",-0.0269999999999868,0,0
3,4,2,96.381,7602,2,"9",9,1,2009,"Chinese Grand Prix","Y","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","ALO","Fernando","Alonso","Spanish",-0.111999999999995,0,0
3,20,1,96.184,7594,1,"1",1,1,2009,"Chinese Grand Prix","Y","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","VET","Sebastian","Vettel","German",-0.308999999999997,1,0
4,20,3,94.015,7615,3,"2",2,1,2009,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","VET","Sebastian","Vettel","German",-0.0290000000000248,0,0
4,10,2,93.712,7620,2,"7",7,1,2009,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","GLO","Timo","Glock","German",-0.332000000000022,0,0
4,15,1,93.431,7616,1,"3",3,1,2009,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","TRU","Jarno","Trulli","Italian",-0.613,0,0
